slang,normalisasi
kira2,kira-kira
kitaa,kita
kjar,kejar
kl,kalau
klao,kalau
klaperan,kelaperan
klau,kalau
klaupun,kalaupun
klean,kalian
kli,kali
kliru,keliru
klk,kalau
klmaan,kelamaan
klo,kalau
klopun,kalaupun
klou,kalau
klr,kelar
klu,kalau
kluar,keluar
kluarga,keluarga
klw,kalau
klwatan,kelewatan
km,kamu
kmana,kemana
kmn2,kemana-mana
kmna,kemana
kmna2,kemana-mana
kmnmn,kemana-mana
kmren,kemaren
kmrin,kemarin
kmrn,kemaren
kmrn2,kemarin-kemarin
kn,kan
knapa,kenapa
kndala,kendala
knp,kenapa
knp2,kenapa-kenapa
knpa,kenapa
ko,kok
kocakk,kocak
kompirmasi,konfirmasi
kompormsi,konfirmasi
konek2,konek-konek
konsumem,konsumen
konyollll,konyol
koq,kok
kostumer,customer
kota2,kota-kota
kp,kampung
kpd,kepada
kpn,kapan
krder,order
kren,keren
krena,karena
krg,kurang
kritisss,kritis
krja,kerja
krn,karena
krna,karena
krta,kereta
ksh,kasih
kshn,kasihan
ksih,kasih
ktanya,katanya
ktemu,ketemu
ktika,ketika
ktmu,ketemu
ktny,katanya
ktnya,katanya
ktr,kantor
ktutupan,ketutupan
kuato,kuota
kueren,keren
kumplit,komplit
kurangy,kurangnya
kureng,kurang
kurg,kurang
kurleb,kurang lebih
kwnyamqnan,kenyamanan
ky,kaya
kya,kayak
kyk,kayak
kyknya,kayaknya
la,lah
laen,lain
lag,lagi
lageee,lagi
lagi2,lagi-lagi
lagii,lagi
lagiii,lagi
lagiiii,lagi
lagiuntuk,lagi untuk
lahh,lah
lahhh,lah
lahj,lah
lainn,lain
laju2,laju-laju
lakai,pakai
lalbar,kalbar
lama2,lama-lama
lama2in,lama-lamain
lamaa,lama
lamaaa,lama
lamaaaa,lama
lamaaaaa,lama
lamaaaaaa,lama
lamaaaaaaaa,lama
lamaaaaaaaaa,lama
lamanyaa,lamanya
lamasudah,lama sudah
lambatttt,lambat
lamgsung,langsung
lancaarr,lancar
lancar2,lancar-lancar
lancarrr,lancar
lapah,lapar
laparrrrrrrrrr,lapar
lapee,laper
laper2,laper-laper
laper2nya,lapar-laparnya
larya,karya
lasung,langsung
latter,later
layana,layanan
layananya,layanannya
lbh,lebih
lbih,lebih
lebh,lebih
lebihh,lebih
lebihj,lebih
leleeeeeet,lelet
lemgkap,lengkap
lemod,lemot
lemoooottttt,lemot
lemooot,lemot
lemott,lemot
lemut,lemot
